SP_21.csv,SP_22.csv,SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_32.csv,SP_33.csv,SP_34.csv,SP_35.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv
605.5000,540.5000,483.5000,511.0000,428.5000,414.5000,368.5000,241.5000,191.5000,447.0000,297.5000,320.5000,195.0000,173.5000,322.0000,165.5000,497.0000,415.5000,395.0000
653.5000,606.5000,568.5000,561.0000,476.5000,487.5000,418.0000,266.5000,268.5000,466.5000,355.5000,355.0000,190.5000,201.5000,326.5000,198.0000,532.0000,463.0000,476.0000
631.5000,558.0000,522.0000,566.5000,528.0000,479.5000,397.0000,282.0000,246.5000,449.0000,362.5000,339.5000,227.0000,214.5000,330.0000,197.5000,545.0000,486.0000,464.5000
724.5000,634.0000,597.0000,628.0000,523.5000,533.0000,438.0000,322.0000,284.5000,505.5000,399.0000,385.0000,241.5000,265.0000,356.0000,250.5000,587.5000,532.5000,550.5000
678.5000,620.5000,547.0000,597.5000,522.5000,499.0000,425.0000,260.5000,248.0000,490.0000,370.0000,340.0000,219.5000,219.0000,343.0000,212.5000,555.0000,534.0000,494.5000
735.5000,698.5000,626.0000,629.0000,562.5000,543.5000,450.0000,339.5000,332.0000,524.0000,409.0000,372.5000,235.0000,237.0000,360.0000,223.0000,645.0000,536.0000,531.0000
778.0000,689.5000,647.0000,700.5000,581.0000,574.5000,491.0000,354.0000,328.5000,558.0000,431.0000,391.0000,274.0000,244.0000,388.0000,235.0000,666.5000,572.5000,545.5000
866.0000,785.0000,702.0000,742.5000,644.5000,633.5000,530.5000,393.5000,362.5000,630.5000,475.5000,462.5000,292.0000,292.0000,444.0000,316.0000,719.0000,637.5000,656.5000
878.5000,769.5000,708.0000,767.0000,650.0000,600.0000,492.5000,371.0000,339.5000,596.0000,478.0000,411.0000,273.5000,284.5000,430.0000,258.0000,711.0000,608.5000,621.0000
972.5000,858.5000,800.0000,803.5000,733.0000,711.5000,571.5000,426.5000,419.0000,649.0000,561.0000,488.0000,365.0000,331.5000,438.5000,292.5000,789.5000,714.5000,674.0000
1059.0000,933.0000,874.5000,890.0000,796.0000,786.5000,653.0000,474.0000,468.0000,742.5000,584.0000,539.5000,405.5000,393.5000,505.0000,369.5000,880.0000,786.5000,786.5000
1134.5000,1025.5000,913.5000,919.5000,851.5000,835.0000,650.0000,472.0000,475.0000,787.0000,621.0000,529.5000,398.0000,390.5000,527.5000,371.0000,918.5000,818.5000,835.5000
1288.0000,1154.0000,1045.5000,1043.5000,957.0000,954.5000,724.5000,573.0000,527.0000,891.5000,750.5000,619.0000,471.0000,463.0000,564.0000,419.0000,1037.5000,965.0000,946.5000
1543.0000,1363.5000,1293.5000,1300.5000,1187.0000,1203.5000,915.0000,780.5000,748.0000,1084.0000,962.0000,760.5000,626.0000,650.0000,709.0000,619.0000,1287.0000,1190.5000,1178.0000
1892.0000,1708.5000,1588.5000,1602.0000,1521.0000,1428.5000,1128.5000,938.5000,895.5000,1326.5000,1193.0000,936.0000,803.5000,766.0000,892.0000,745.0000,1606.5000,1491.5000,1480.5000
2567.5000,2292.0000,2213.5000,2169.0000,2044.0000,1996.5000,1523.5000,1317.5000,1284.0000,1793.0000,1645.0000,1252.0000,1110.0000,1081.5000,1184.5000,997.5000,2193.5000,2009.5000,2023.5000
3844.0000,3470.0000,3247.0000,3227.5000,3043.5000,2956.5000,2275.5000,2061.5000,1956.5000,2707.0000,2501.0000,1829.5000,1674.0000,1634.0000,1750.0000,1561.5000,3295.0000,3099.5000,3090.0000
6233.0000,5583.5000,5344.0000,5237.5000,4957.5000,4873.5000,3676.5000,3374.5000,3211.5000,4395.0000,4180.0000,2969.0000,2797.5000,2722.5000,2799.5000,2606.0000,5281.5000,5140.5000,4990.0000
10476.5000,9427.0000,8952.5000,8795.5000,8356.5000,8144.5000,6108.5000,5626.5000,5492.5000,7345.0000,6977.5000,4928.5000,4672.5000,4694.5000,4716.5000,4396.0000,8728.5000,8513.5000,8433.5000
17420.5000,15749.0000,14912.0000,14602.0000,14024.0000,13663.5000,10243.5000,9510.5000,9271.5000,12225.5000,11733.0000,8214.5000,7880.5000,7805.5000,7754.0000,7338.5000,14673.5000,14272.0000,14016.5000
28228.5000,25470.0000,24266.0000,23762.5000,22883.5000,22181.5000,16584.0000,15443.5000,14940.5000,19823.5000,19039.5000,13336.5000,12858.5000,12706.0000,12501.5000,12025.5000,23779.0000,23179.0000,22827.5000
44154.0000,39837.5000,37771.0000,37031.5000,35676.5000,34735.5000,25662.5000,23906.0000,23298.0000,30618.0000,29726.5000,20651.5000,19814.5000,19643.0000,19475.0000,18686.0000,36908.5000,36096.0000,35373.0000
63735.5000,58253.0000,55353.0000,53936.0000,52302.0000,51090.0000,37247.0000,34919.0000,34056.0000,44380.5000,43105.5000,29969.5000,29116.5000,28778.0000,28280.0000,27215.0000,53773.0000,52537.5000,51955.0000
64738.0000,64738.0000,64738.0000,64738.0000,64738.0000,64738.0000,51925.0000,48575.0000,47368.0000,62179.5000,60035.0000,42013.0000,40825.5000,40340.5000,39652.5000,38224.0000,64738.0000,64738.0000,64738.0000
64756.5000,64756.5000,64756.5000,64756.5000,64756.5000,64756.5000,64756.5000,63955.5000,62437.5000,64756.5000,64756.5000,55748.0000,54271.5000,53474.5000,52168.5000,50738.0000,64756.5000,64756.5000,64756.5000
64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,63496.5000,64737.0000,64737.0000,64737.0000
64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000
64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000
64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000
64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000
64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000
64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000
64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000
64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000
64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000
64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000
64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000
64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000
64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000
64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000
