SP_61.csv,SP_62.csv,SP_63.csv,SP_65.csv,SP_67.csv,SP_68.csv,SP_69.csv,SP_70.csv,SP_71.csv,SP_72.csv,SP_73.csv,SP_74.csv,SP_75.csv,SP_76.csv
1117.5000,938.5000,820.5000,770.0000,713.0000,648.0000,610.0000,647.5000,602.5000,555.0000,563.0000,640.5000,601.5000,500.5000
1356.5000,1137.5000,1037.5000,956.0000,874.0000,833.5000,765.0000,841.5000,749.5000,739.0000,705.0000,797.0000,752.5000,628.0000
1617.5000,1385.0000,1253.0000,1119.5000,1050.0000,996.5000,937.0000,985.0000,911.5000,863.5000,852.5000,948.5000,910.0000,784.0000
2153.5000,1830.5000,1686.0000,1493.5000,1352.0000,1301.5000,1283.0000,1328.0000,1234.0000,1169.0000,1156.0000,1264.0000,1177.5000,1061.0000
3139.5000,2698.0000,2446.0000,2236.0000,2054.0000,1947.5000,1896.0000,1915.5000,1799.0000,1734.5000,1675.5000,1761.0000,1721.5000,1551.0000
4990.0000,4246.5000,3925.0000,3532.0000,3294.5000,3098.5000,3030.0000,2986.0000,2870.5000,2833.0000,2756.5000,2733.0000,2692.5000,2511.0000
8225.0000,6998.5000,6566.5000,5860.0000,5404.5000,5199.0000,5027.5000,4973.5000,4826.5000,4693.5000,4597.5000,4555.5000,4408.0000,4259.0000
13621.5000,11672.0000,10809.0000,9710.0000,8993.5000,8723.5000,8425.5000,8318.0000,8059.5000,7920.0000,7712.5000,7408.5000,7341.5000,7095.5000
22008.5000,18926.0000,17502.5000,15598.5000,14486.5000,14045.5000,13604.0000,13297.0000,13001.5000,12720.0000,12436.5000,11938.0000,11779.5000,11490.5000
34260.0000,29293.0000,27023.5000,24306.0000,22440.5000,21827.5000,21233.0000,20588.0000,20151.0000,19695.5000,19431.0000,18470.0000,18115.5000,17889.5000
49676.5000,42582.5000,39380.0000,35368.5000,32821.5000,31649.0000,30860.5000,30130.0000,29328.5000,28751.0000,28079.0000,26823.0000,26478.0000,25961.0000
64738.0000,59137.0000,54707.0000,49096.0000,45410.0000,43954.0000,42982.0000,41727.5000,40767.0000,40024.5000,39285.5000,37232.0000,36718.5000,36072.5000
64756.5000,64756.5000,64756.5000,64114.5000,59456.5000,57849.0000,55954.0000,54619.5000,53368.0000,52330.0000,51212.0000,48845.0000,48161.0000,47175.0000
64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64737.0000,64481.5000,63462.5000,60481.5000,59589.5000,58514.0000
64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000,64751.5000
64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000,64741.0000
64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000
64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000,64719.5000
64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000,64709.0000
64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000,64733.5000
64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000,64736.0000
64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000,64721.0000
64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000,64718.5000
64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000
64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000,64732.0000
64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000,64714.0000
64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000
64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000,64757.0000
64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000
64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000
64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000
64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000
64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000
64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000
64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000
64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000
64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000
64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000
64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000
64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000
64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000
64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000
64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000
