Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std
T1_thiram_conc,Thiram Concentration,PLS-DA,p4,0.6444299167540234,0.10447478556032638,0.6512297620712042,0.08519786597789993
T1_thiram_conc,Thiram Concentration,RF,p4,0.6565286921024909,0.05386179705022813,0.6831930845146649,0.05682592890767267
T1_thiram_conc,Thiram Concentration,SVM,p4,0.5755002951549274,0.09044671859306953,0.5899526795671078,0.08889419306241565
T2_mg_conc,MG Concentration,PLS-DA,p4,0.4399864798826025,0.09242118305266514,0.48056920811102516,0.07953753543365105
T2_mg_conc,MG Concentration,RF,p4,0.5110871337374778,0.11479674144940007,0.54773795419754,0.06878609423153215
T2_mg_conc,MG Concentration,SVM,p4,0.3480790840917013,0.0810821439025506,0.37200458025188265,0.08993139237331205
T3_mba_conc,MBA Concentration,PLS-DA,p4,0.425216771054433,0.058402280577226226,0.45954535159758086,0.06886965134960779
T3_mba_conc,MBA Concentration,RF,p4,0.6444038956815306,0.1536287323633273,0.6608866584493599,0.1488603441117815
T3_mba_conc,MBA Concentration,SVM,p4,0.45487609576071764,0.10821270968886589,0.5064261612760607,0.1503816644785085
T4_thiram_pres,Thiram Presence,PLS-DA,p4,0.7196483776019186,0.05051878478152242,0.7021509992549578,0.05745066189901585
T4_thiram_pres,Thiram Presence,RF,p4,0.792570856889638,0.12418967335961172,0.8012676766907065,0.116266168460576
T4_thiram_pres,Thiram Presence,SVM,p4,0.6615566527656856,0.14673503734187673,0.6896684288570044,0.12650159696821325
T5_mg_pres,MG Presence,PLS-DA,p4,0.6898163499677759,0.0938804903161888,0.695052105859504,0.0974828462882272
T5_mg_pres,MG Presence,RF,p4,0.7779278125287921,0.09499700079785214,0.7585304840462264,0.07741323818339922
T5_mg_pres,MG Presence,SVM,p4,0.5842183687456068,0.14863371859181887,0.5954624965330263,0.1113520835769188
T6_mba_pres,MBA Presence,PLS-DA,p4,0.7651359417523304,0.14893527379317045,0.7496958819123665,0.15563134408434254
T6_mba_pres,MBA Presence,RF,p4,0.8808859822467767,0.07601893717340898,0.8816158783271805,0.0810590647514751
T6_mba_pres,MBA Presence,SVM,p4,0.7412281651586211,0.1657318496447976,0.7268272474447895,0.16488002119489306
T7_mixture_order,Mixture Complexity,PLS-DA,p4,0.5874006675943926,0.14772547606433306,0.6194981862239288,0.1262096984282264
T7_mixture_order,Mixture Complexity,RF,p4,0.6872838363154701,0.1290532084821457,0.7027500103918207,0.12388222169840411
T7_mixture_order,Mixture Complexity,SVM,p4,0.45004131425065264,0.11933848046674343,0.4566162143996454,0.09905984190065906
