Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T4_thiram_pres,Thiram Presence,Feature-KAN,p2,0,0.7254106187929718,0.799482163406214,0.7464788732394366
T4_thiram_pres,Thiram Presence,Feature-KAN,p2,1,0.8040695766327535,0.8556462585034014,0.8341708542713567
T4_thiram_pres,Thiram Presence,Feature-KAN,p2,2,0.7602356406480117,0.7775000000000001,0.8131313131313131
T4_thiram_pres,Thiram Presence,Feature-KAN,p2,3,0.7389168323780559,0.7651430694908956,0.7419354838709677
T4_thiram_pres,Thiram Presence,Feature-KAN,p2,4,0.6584869675778766,0.7811930783242258,0.6772151898734177
T5_mg_pres,MG Presence,Feature-KAN,p2,0,0.777106978990582,0.8039832285115305,0.8169014084507042
T5_mg_pres,MG Presence,Feature-KAN,p2,1,0.58147345952224,0.5986075589656152,0.6633165829145728
T5_mg_pres,MG Presence,Feature-KAN,p2,2,0.5998298053398574,0.6036399302528335,0.6161616161616161
T5_mg_pres,MG Presence,Feature-KAN,p2,3,0.8246361959417914,0.8395547945205479,0.8763440860215054
T5_mg_pres,MG Presence,Feature-KAN,p2,4,0.6419306620377068,0.6362481857764877,0.7025316455696202
T6_mba_pres,MBA Presence,Feature-KAN,p2,0,0.8739137641181067,0.8847948668092553,0.8826291079812206
T6_mba_pres,MBA Presence,Feature-KAN,p2,1,0.7669789227166277,0.7892356399819087,0.7788944723618091
T6_mba_pres,MBA Presence,Feature-KAN,p2,2,0.8768197088465846,0.92625,0.898989898989899
T6_mba_pres,MBA Presence,Feature-KAN,p2,3,0.8606741573033708,0.8892545538037655,0.8870967741935484
T6_mba_pres,MBA Presence,Feature-KAN,p2,4,0.881203007518797,0.963768115942029,0.9367088607594936
T7_mixture_order,Mixture Complexity,Feature-KAN,p2,0,0.8177045443522964,0.7989025875710074,0.8356807511737089
T7_mixture_order,Mixture Complexity,Feature-KAN,p2,1,0.5534684757608507,0.5874783111625217,0.5577889447236181
T7_mixture_order,Mixture Complexity,Feature-KAN,p2,2,0.7286537304125243,0.7183540066625963,0.7474747474747475
T7_mixture_order,Mixture Complexity,Feature-KAN,p2,3,0.7711001642036125,0.7860275689223059,0.7526881720430108
T7_mixture_order,Mixture Complexity,Feature-KAN,p2,4,0.5823220601237843,0.615686274509804,0.620253164556962
T1_thiram_conc,Thiram Concentration,RF,p2,0,0.7638606470893683,0.7548417333621746,0.7605633802816901
T1_thiram_conc,Thiram Concentration,RF,p2,1,0.6218738772903277,0.6886194477791117,0.628140703517588
T1_thiram_conc,Thiram Concentration,RF,p2,2,0.6745793718619806,0.667996794871795,0.6666666666666666
T1_thiram_conc,Thiram Concentration,RF,p2,3,0.716764707364898,0.7800325175903344,0.7634408602150538
T1_thiram_conc,Thiram Concentration,RF,p2,4,0.670995402605826,0.6809180402930403,0.6708860759493671
T1_thiram_conc,Thiram Concentration,SVM,p2,0,0.7005725181544995,0.7048417333621746,0.7183098591549296
T1_thiram_conc,Thiram Concentration,SVM,p2,1,0.6873345802634858,0.7226070428171268,0.6984924623115578
T1_thiram_conc,Thiram Concentration,SVM,p2,2,0.6626302773361596,0.6575801282051282,0.6565656565656566
T1_thiram_conc,Thiram Concentration,SVM,p2,3,0.8459113300492611,0.8425601995907268,0.8225806451612904
T1_thiram_conc,Thiram Concentration,SVM,p2,4,0.7661546915416885,0.7689255189255189,0.7658227848101266
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,0,0.605112834332435,0.6018114303318716,0.6150234741784038
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,1,0.6120661965259834,0.6630027010804321,0.6432160804020101
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,2,0.6705421312162885,0.6575801282051282,0.6565656565656566
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,3,0.8625176381798132,0.8544179071006083,0.8333333333333334
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,4,0.7671266693437948,0.771123321123321,0.7784810126582279
T2_mg_conc,MG Concentration,RF,p2,0,0.4454398065366459,0.4460536739948504,0.4507042253521127
T2_mg_conc,MG Concentration,RF,p2,1,0.4390398669510233,0.4518371111054642,0.4723618090452261
T2_mg_conc,MG Concentration,RF,p2,2,0.3982230465732799,0.4938465250965251,0.404040404040404
T2_mg_conc,MG Concentration,RF,p2,3,0.3823480406293056,0.4659420289855072,0.4462365591397849
T2_mg_conc,MG Concentration,RF,p2,4,0.3724361960520439,0.3726177394034536,0.3734177215189873
T2_mg_conc,MG Concentration,SVM,p2,0,0.4875682421798151,0.4977718360071301,0.5023474178403756
T2_mg_conc,MG Concentration,SVM,p2,1,0.3047519973620602,0.3008848683003131,0.3165829145728643
T2_mg_conc,MG Concentration,SVM,p2,2,0.3700311311586765,0.4849179536679536,0.3939393939393939
T2_mg_conc,MG Concentration,SVM,p2,3,0.2881383322559793,0.3041666666666667,0.3655913978494624
T2_mg_conc,MG Concentration,SVM,p2,4,0.4550242344128662,0.4568906985871271,0.4430379746835443
T2_mg_conc,MG Concentration,PLS-DA,p2,0,0.3460376810401236,0.3952762923351158,0.3849765258215962
T2_mg_conc,MG Concentration,PLS-DA,p2,1,0.4365023474178404,0.4712248395576223,0.4723618090452261
T2_mg_conc,MG Concentration,PLS-DA,p2,2,0.473758804373836,0.5386100386100386,0.4595959595959596
T2_mg_conc,MG Concentration,PLS-DA,p2,3,0.3793206149883281,0.4623188405797101,0.5161290322580645
T2_mg_conc,MG Concentration,PLS-DA,p2,4,0.3549110948727317,0.363045035321821,0.3987341772151899
T3_mba_conc,MBA Concentration,RF,p2,0,0.621817106490737,0.6259538688886515,0.6901408450704225
T3_mba_conc,MBA Concentration,RF,p2,1,0.6987429986407742,0.7042745334269493,0.6934673366834171
T3_mba_conc,MBA Concentration,RF,p2,2,0.5955057584680208,0.6369565217391304,0.6060606060606061
T3_mba_conc,MBA Concentration,RF,p2,3,0.4059472030664753,0.3766682785299806,0.3817204301075269
T3_mba_conc,MBA Concentration,RF,p2,4,0.7870327970129356,0.8491379310344828,0.7468354430379747
T3_mba_conc,MBA Concentration,SVM,p2,0,0.4436791506801534,0.4649383078730905,0.5633802816901409
T3_mba_conc,MBA Concentration,SVM,p2,1,0.5835447745985164,0.5879221586295181,0.592964824120603
T3_mba_conc,MBA Concentration,SVM,p2,2,0.5559823066691009,0.5872735507246376,0.5606060606060606
T3_mba_conc,MBA Concentration,SVM,p2,3,0.3641384388807069,0.3267166344294003,0.3548387096774194
T3_mba_conc,MBA Concentration,SVM,p2,4,0.7262736318407961,0.7610671015843429,0.689873417721519
T3_mba_conc,MBA Concentration,PLS-DA,p2,0,0.6174354581143123,0.5961457999501478,0.6431924882629108
T3_mba_conc,MBA Concentration,PLS-DA,p2,1,0.5894365563460262,0.6013531992567455,0.592964824120603
T3_mba_conc,MBA Concentration,PLS-DA,p2,2,0.4744306286572474,0.5649909420289856,0.5303030303030303
T3_mba_conc,MBA Concentration,PLS-DA,p2,3,0.2804459691252144,0.2893617021276596,0.3225806451612903
T3_mba_conc,MBA Concentration,PLS-DA,p2,4,0.5865972442191953,0.6396984422846492,0.5063291139240507
T4_thiram_pres,Thiram Presence,RF,p2,0,0.9623231132075472,0.9513808975834293,0.971830985915493
T4_thiram_pres,Thiram Presence,RF,p2,1,0.8227013542409123,0.8793877551020408,0.8492462311557789
T4_thiram_pres,Thiram Presence,RF,p2,2,0.6885456885456885,0.65625,0.8333333333333334
T4_thiram_pres,Thiram Presence,RF,p2,3,0.8945295012982362,0.9128576737272388,0.8978494623655914
T4_thiram_pres,Thiram Presence,RF,p2,4,0.8721941354903944,0.9246357012750456,0.8987341772151899
T4_thiram_pres,Thiram Presence,SVM,p2,0,0.9878867151956324,0.9936708860759492,0.9906103286384976
T4_thiram_pres,Thiram Presence,SVM,p2,1,0.8607222844344905,0.8508843537414965,0.8994974874371859
T4_thiram_pres,Thiram Presence,SVM,p2,2,0.8525573192239859,0.81625,0.904040404040404
T4_thiram_pres,Thiram Presence,SVM,p2,3,0.916394474244104,0.932924563359346,0.9193548387096774
T4_thiram_pres,Thiram Presence,SVM,p2,4,0.916313559322034,0.9492258652094718,0.9367088607594936
T4_thiram_pres,Thiram Presence,PLS-DA,p2,0,0.9321911266749632,0.9296317606444188,0.9483568075117372
T4_thiram_pres,Thiram Presence,PLS-DA,p2,1,0.7556862238304471,0.7702721088435374,0.8090452261306532
T4_thiram_pres,Thiram Presence,PLS-DA,p2,2,0.9347802217911648,0.9133333333333332,0.9545454545454546
T4_thiram_pres,Thiram Presence,PLS-DA,p2,3,0.9942227053890356,0.9927536231884058,0.9946236559139784
T4_thiram_pres,Thiram Presence,PLS-DA,p2,4,0.8561020036429873,0.8561020036429873,0.8987341772151899
T5_mg_pres,MG Presence,RF,p2,0,0.8812202722650484,0.8425925925925926,0.92018779342723
T5_mg_pres,MG Presence,RF,p2,1,0.4925753712314384,0.5140664961636828,0.7437185929648241
T5_mg_pres,MG Presence,RF,p2,2,0.7579001711816971,0.7586094158674804,0.7727272727272727
T5_mg_pres,MG Presence,RF,p2,3,0.7508964444636455,0.7486301369863013,0.8333333333333334
T5_mg_pres,MG Presence,RF,p2,4,0.7465006915629322,0.7211538461538461,0.8164556962025317
T5_mg_pres,MG Presence,SVM,p2,0,0.9877445339470656,0.9937106918238994,0.9906103286384976
T5_mg_pres,MG Presence,SVM,p2,1,0.4283691386495125,0.4411054276783177,0.6432160804020101
T5_mg_pres,MG Presence,SVM,p2,2,0.7367301350920115,0.7438971229293809,0.7474747474747475
T5_mg_pres,MG Presence,SVM,p2,3,0.7480650154798762,0.7226027397260274,0.8494623655913979
T5_mg_pres,MG Presence,SVM,p2,4,0.8562184024266937,0.8269230769230769,0.8860759493670886
T5_mg_pres,MG Presence,PLS-DA,p2,0,0.935866203158788,0.9654088050314464,0.9483568075117372
T5_mg_pres,MG Presence,PLS-DA,p2,1,0.6512443042411497,0.6400966183574879,0.7738693467336684
T5_mg_pres,MG Presence,PLS-DA,p2,2,0.732765780730897,0.7521795989537925,0.7373737373737373
T5_mg_pres,MG Presence,PLS-DA,p2,3,0.931379381020701,0.951027397260274,0.9516129032258064
T5_mg_pres,MG Presence,PLS-DA,p2,4,0.867049448101767,0.8414368650217707,0.8924050632911392
T6_mba_pres,MBA Presence,RF,p2,0,0.7597322838593237,0.7528193661287186,0.7887323943661971
T6_mba_pres,MBA Presence,RF,p2,1,0.8702375407545413,0.8432835820895522,0.8944723618090452
T6_mba_pres,MBA Presence,RF,p2,2,0.9004024144869215,0.9466666666666668,0.9191919191919192
T6_mba_pres,MBA Presence,RF,p2,3,0.8511735419630156,0.8085106382978724,0.9032258064516128
T6_mba_pres,MBA Presence,RF,p2,4,1.0,1.0,1.0
