Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,0.4744791925877967,0.1086104038216149,0.5014650641751422,0.1136654995354034,0.4966860767906236,0.0996414890630804
T2_mg_conc,MG Concentration,1D-CNN,p1,0.2775141351128998,0.0443158217401108,0.3519568560470258,0.0558620327687661,0.3597846191454766,0.0314185723751756
T3_mba_conc,MBA Concentration,1D-CNN,p1,0.4455216307051672,0.0905376159578613,0.4867379272331079,0.1261986364500574,0.4585175774758081,0.122721596229531
T4_thiram_pres,Thiram Presence,1D-CNN,p1,0.5569252635513082,0.0677054871079451,0.5889542425946814,0.0576203933226695,0.7317136643682559,0.0688995306523436
T5_mg_pres,MG Presence,1D-CNN,p1,0.44094670736909,0.0530357879695879,0.5117592592592592,0.0200511605594419,0.725253711121175,0.0722620163373815
T6_mba_pres,MBA Presence,1D-CNN,p1,0.8126682633794925,0.1468837472227872,0.8151236690806339,0.1481442461433977,0.8482485189014198,0.1201796188557152
T7_mixture_order,Mixture Complexity,1D-CNN,p1,0.4820650340198613,0.112802520642218,0.5029572697316956,0.0919084768504147,0.559274448311057,0.0984846668302257
T1b_thiram_3c,Thiram Semi-Quant,1D-CNN,p1,0.559432245281174,0.1034870722290593,0.5747405212532968,0.1022486117634298,0.5544606371023811,0.1174539747035096
T2b_mg_3c,MG Semi-Quant,1D-CNN,p1,0.3932312232988594,0.0741190385238655,0.4831685424493028,0.0780859739018692,0.4512949932473519,0.1204353877786867
T3b_mba_3c,MBA Semi-Quant,1D-CNN,p1,0.6725222572340386,0.0990546525139747,0.7194094211076809,0.1059086069754019,0.6945218398233853,0.119492273449096
T1_thiram_conc,Thiram Concentration,1D-ResNet,p1,0.5322332136431684,0.1117406497836819,0.5593839298918992,0.1297859396794534,0.5374950927835433,0.1178524087804785
T2_mg_conc,MG Concentration,1D-ResNet,p1,0.332624190288006,0.0862411304238116,0.3709576706495937,0.0451923547811373,0.3684996144718337,0.0588905386656253
T3_mba_conc,MBA Concentration,1D-ResNet,p1,0.5061480552396243,0.1652489989765649,0.5449458463802861,0.1960413378714054,0.5286873775802006,0.1664281431007664
T4_thiram_pres,Thiram Presence,1D-ResNet,p1,0.6321706724881507,0.0883004866828113,0.6382170641625166,0.0732776385783844,0.760206795857935,0.0656116371929444
T5_mg_pres,MG Presence,1D-ResNet,p1,0.5818702486326139,0.0419767400726678,0.5833390984071094,0.0355277971378026,0.7340592255942476,0.0581215528075927
T6_mba_pres,MBA Presence,1D-ResNet,p1,0.8041151210677858,0.1354886629904975,0.8041098930477771,0.1389190883299336,0.8411379961805991,0.1171055796653387
T7_mixture_order,Mixture Complexity,1D-ResNet,p1,0.5191126224174617,0.1210749367461313,0.5386600969546644,0.0974780986214603,0.6026296749550554,0.0583615895342219
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,0.5915278062828316,0.083381157831924,0.6248983344918556,0.1038349371954485,0.6075813605372904,0.0634312621189471
T1_thiram_conc,Thiram Concentration,RF,p1,0.6326338144735765,0.0423541463178002,0.6678917526349986,0.0640603717672324,0.6520972160050089,0.0633003166953397
T1_thiram_conc,Thiram Concentration,SVM,p1,0.6639028117217485,0.076937177271757,0.6782108232228952,0.0927037414307015,0.6603479782454152,0.0829757572521385
T2_mg_conc,MG Concentration,PLS-DA,p1,0.3445626839825693,0.0465431034386768,0.4056067940139519,0.0547372340476041,0.4008503944277568,0.0338510958874616
T2_mg_conc,MG Concentration,RF,p1,0.4562878286955537,0.0684077963395376,0.4758899218249142,0.0643245623375159,0.458277008330949,0.0629497483377117
T2_mg_conc,MG Concentration,SVM,p1,0.3644176425908283,0.0641550478959963,0.3898365710402999,0.0846400093571403,0.3839919426333689,0.0489180619970453
T3_mba_conc,MBA Concentration,PLS-DA,p1,0.5532261182999882,0.1336245249351986,0.5896403357446081,0.1428162953534438,0.5789905173592571,0.1333195439354661
T3_mba_conc,MBA Concentration,RF,p1,0.6050862292174778,0.1801040361704743,0.6057980965627626,0.2135582803201401,0.6049235084229847,0.1852586272031843
T3_mba_conc,MBA Concentration,SVM,p1,0.5926090709050988,0.143562173311132,0.6002699243638552,0.1592164437732998,0.5988369176428562,0.1301548231207459
T4_thiram_pres,Thiram Presence,PLS-DA,p1,0.8241453814234022,0.0721048135825622,0.8245522993765293,0.0829697436815663,0.8705836844355339,0.0443156312595935
T4_thiram_pres,Thiram Presence,RF,p1,0.8179557685885099,0.0886262958671902,0.8303375562396477,0.1020308556197994,0.8635553636084848,0.0574090325052342
T4_thiram_pres,Thiram Presence,SVM,p1,0.8944606937506332,0.0856369762072821,0.8998336519712398,0.0829864827456993,0.9170108588754218,0.0682233512307344
T5_mg_pres,MG Presence,PLS-DA,p1,0.7671536687921526,0.1498235038518779,0.7680081252121101,0.1474747213616551,0.8147629776936023,0.1302353415313525
T5_mg_pres,MG Presence,RF,p1,0.647822004596323,0.1849619992252169,0.6529411369890703,0.1516143995859504,0.7902591847079207,0.0890108701310343
T5_mg_pres,MG Presence,SVM,p1,0.7008058710395971,0.1701134549386847,0.7015698564181372,0.1747583322841236,0.7825883822689462,0.1166421548515352
T6_mba_pres,MBA Presence,PLS-DA,p1,0.8980081944939418,0.0798628791844308,0.9093247845806662,0.0895370841915785,0.9231694152110071,0.0639540560956526
T6_mba_pres,MBA Presence,RF,p1,0.8983917282317451,0.0831604897143042,0.8801134191991544,0.0986622655388715,0.9253659912188812,0.0627244533681985
T6_mba_pres,MBA Presence,SVM,p1,0.874822891666464,0.1054824892655616,0.8732551918005031,0.1143217054006812,0.9028868637470484,0.0729682647270613
T7_mixture_order,Mixture Complexity,PLS-DA,p1,0.7140628158116471,0.1706713612053397,0.711242725465878,0.1516344477167742,0.7553163128974513,0.1371049607740025
T7_mixture_order,Mixture Complexity,RF,p1,0.7646945645552323,0.0676347465769185,0.7578682925389887,0.0689295819661396,0.7994636842692794,0.0846680049559853
T7_mixture_order,Mixture Complexity,SVM,p1,0.7562323721222608,0.0386168167052122,0.7612295802715378,0.054170281538837,0.7950570216181134,0.0276866589366954
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p1,0.6454345940238302,0.03502843040921043,0.6442128817048249,0.03589316849017847,0.6570921650811984,0.03985272173479656
T1b_thiram_3c,Thiram Semi-Quant,RF,p1,0.6918129422431305,0.06928113741525127,0.7013338292026722,0.07079763080304684,0.7114553773655012,0.06226295140123333
T1b_thiram_3c,Thiram Semi-Quant,SVM,p1,0.6966490401604344,0.04600632066841498,0.702880387437785,0.051859789933918446,0.7046749767669741,0.024249192348659073
T2b_mg_3c,MG Semi-Quant,PLS-DA,p1,0.6151859682366838,0.06333665534865973,0.6408427125133879,0.06983820244506689,0.6115066892828105,0.0907323022208591
T2b_mg_3c,MG Semi-Quant,RF,p1,0.6086866293705187,0.06797568925828663,0.6257586516510188,0.09136111720460711,0.6402647947923137,0.06971545769315192
T2b_mg_3c,MG Semi-Quant,SVM,p1,0.5583926004742835,0.08004402056355539,0.5946743852636851,0.12309429180835128,0.5851284264205616,0.07836472878351952
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p1,0.7267247050950278,0.09542946585524145,0.7412331503623975,0.08186065115214146,0.7371918017750716,0.11584703472626005
T3b_mba_3c,MBA Semi-Quant,RF,p1,0.776362410627528,0.15959282851574683,0.768132337390031,0.15139138788452636,0.7866022145668932,0.18194971165642482
T3b_mba_3c,MBA Semi-Quant,SVM,p1,0.7562049475749918,0.14749270344975518,0.77756100490997,0.13254358994826324,0.7578085573732607,0.1497418129074529
