Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
T1_thiram_conc,Thiram Concentration,PLS-DA,p3,0.6664777864810816,0.135562659103331,0.6743038960769114,0.1292301376996489,0.6680192880130277,0.1227978050540261
T1_thiram_conc,Thiram Concentration,RF,p3,0.6532610616060487,0.0966635103826561,0.6866529853114345,0.0942282621730581,0.6636438947765911,0.1003987767725481
T1_thiram_conc,Thiram Concentration,SVM,p3,0.664820590760756,0.066588183312431,0.6783893717921469,0.0774918782537967,0.6648042337816382,0.070635454719761
T2_mg_conc,MG Concentration,PLS-DA,p3,0.416562999763,0.0435752458372573,0.4711394970804718,0.0229891883189349,0.4661226168233943,0.0397626374105816
T2_mg_conc,MG Concentration,RF,p3,0.3933575351306338,0.0654763527140375,0.4191904305432337,0.0939905184050569,0.4123292834206832,0.0744891552677439
T2_mg_conc,MG Concentration,SVM,p3,0.3683535733394927,0.0636419980712582,0.3755962537719398,0.0918028347461297,0.372109729971292,0.0442885245044358
T3_mba_conc,MBA Concentration,PLS-DA,p3,0.5387109600534944,0.1533278719165776,0.5677309886367696,0.1615258808747539,0.5618931848006096,0.1407762566920892
T3_mba_conc,MBA Concentration,RF,p3,0.5712801289603621,0.1703119498177659,0.5728293355217644,0.1988653299479875,0.5709042673256683,0.1711271424090991
T3_mba_conc,MBA Concentration,SVM,p3,0.5665042652425347,0.1429220996116947,0.5717398655792545,0.1633931957274541,0.5721139391729906,0.1336281646271858
T4_thiram_pres,Thiram Presence,PLS-DA,p3,0.82679290242832,0.0860770987248652,0.8310098621754269,0.0918576908598961,0.8696056492576719,0.0617540935033656
T4_thiram_pres,Thiram Presence,RF,p3,0.8397548085631044,0.0743064232728811,0.8218092296023032,0.0772680441677223,0.885812784524567,0.0506551928410395
T4_thiram_pres,Thiram Presence,SVM,p3,0.9025565921017448,0.068906759620079,0.9091358425523264,0.0736772730756529,0.9231047835450956,0.0564586111851783
T5_mg_pres,MG Presence,PLS-DA,p3,0.793054682382262,0.1112849682900249,0.8092477020327925,0.1152193302749864,0.8267986043872879,0.1139028816504447
T5_mg_pres,MG Presence,RF,p3,0.7253676512311099,0.1686537757496199,0.7100963138606484,0.15341964856329,0.8105952081549332,0.1122602330660445
T5_mg_pres,MG Presence,SVM,p3,0.732663290366021,0.2028520996999415,0.7364721870701425,0.2018660744799068,0.8027587989532241,0.1378475649916521
T6_mba_pres,MBA Presence,PLS-DA,p3,0.926421932502466,0.0715964919868139,0.928614458059774,0.0679045506151673,0.9392796662673992,0.0622703102218886
T6_mba_pres,MBA Presence,RF,p3,0.8637029297425203,0.1003177219290517,0.842242677575259,0.1075132369399008,0.8973271305609962,0.0826440737982077
T6_mba_pres,MBA Presence,SVM,p3,0.8637551525228254,0.0803849187752098,0.8581244227407883,0.0846040404515999,0.8902349760911082,0.0686639332104273
T7_mixture_order,Mixture Complexity,PLS-DA,p3,0.7520501116731549,0.142444882554115,0.7407780189507724,0.1428869123710447,0.7700959765333331,0.1342049269241987
T7_mixture_order,Mixture Complexity,RF,p3,0.7593941264934829,0.0922490311753921,0.7533981073327345,0.0904573168582196,0.8084716612856683,0.063253254234538
T7_mixture_order,Mixture Complexity,SVM,p3,0.7868798072912302,0.0422162871321385,0.7861057880256828,0.0492583539489556,0.8076098237786313,0.0385022115149846
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p3,0.6809549078172862,0.09157360279056942,0.6758299812240312,0.07962195266395723,0.6970204759569402,0.09275129136472537
T1b_thiram_3c,Thiram Semi-Quant,RF,p3,0.7390928157394644,0.06482645601507546,0.7294463660264939,0.06685870267507184,0.7494112404156329,0.07181572406030723
T1b_thiram_3c,Thiram Semi-Quant,SVM,p3,0.7236324860676417,0.07432593604278574,0.7269857763017946,0.07569408675335565,0.7360344236028942,0.06269297479247492
T2b_mg_3c,MG Semi-Quant,PLS-DA,p3,0.6245174781465707,0.07522370488309295,0.6542705987322274,0.09042580561063525,0.6236722981917447,0.07891454057838115
T2b_mg_3c,MG Semi-Quant,RF,p3,0.6336923301449565,0.05947385089559848,0.6528623650183926,0.07249103225562364,0.6681406767893469,0.07813019683709174
T2b_mg_3c,MG Semi-Quant,SVM,p3,0.5737491542551494,0.09865041448678688,0.5962326011920656,0.12620178637038076,0.5889545386567387,0.0848778585247687
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p3,0.7298166187923326,0.0848190113756105,0.7500404126904083,0.08352980172590253,0.7399317139389778,0.10490805635060903
T3b_mba_3c,MBA Semi-Quant,RF,p3,0.7296169460828215,0.14608103294632788,0.7156408565264026,0.1389547641328681,0.7378610896000003,0.1731412982234618
T3b_mba_3c,MBA Semi-Quant,SVM,p3,0.7099382849770108,0.12915169867776186,0.7376909634164039,0.1355120571481904,0.7099943700241441,0.13393709181040023
